OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
127,L36,RIO LINDA AIRPORT,RIO LINDA,Rio Linda,Sacramento,Community,COMMUNITY,Not a NPIAS Facility,02110.4*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=L36,3538.66341614877,306023.267074434
128,FOT,ROHNERVILLE AIRPORT,ROHNERVILLE,Fortuna,Humboldt,Regional,REGIONAL,General Aviation,01586.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=FOT,6007.08010139892,1225386.09145972
129,L00,ROSAMOND SKYPARK AIRPORT,ROSAMOND SKYPARK,Rosamond,Kern,Community,COMMUNITY,Not a NPIAS Facility,02116.2*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L00,3508.56397520419,283506.354495018
130,SAC,SACRAMENTO EXECUTIVE AIRPORT,SACRAMENTO EXECUTIVE,Sacramento,Sacramento,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02127.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=SAC,10300.1311822335,3476349.89725909
131,IZA,SANTA YNEZ AIRPORT,SANTA YNEZ,Santa Ynez,Santa Barbara,Community,COMMUNITY,General Aviation,02264.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=IZA,4679.03411079557,750712.723837554
132,L09,STOVEPIPE WELLS AIRPORT,STOVEPIPE WELLS,Death Valley National Park,Inyo,Limited Use,LIMITED USE-Recreation,Not a NPIAS Facility,01494.62*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=L09,3026.82839586912,122495.92084404
133,L17,TAFT AIRPORT,TAFT,Taft,Kern,Community,COMMUNITY,General Aviation,02338.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L17,3793.31775803735,500625.484632061
134,L19,WASCO-KERN AIRPORT,WASCO - KERN,Wasco,Kern,Community,COMMUNITY,General Aviation,02422.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L19,4054.53659774622,972298.212211456
135,JAQ,WESTOVER FIELD AMADOR COUNTY AIRPORT,WESTOVER FIELD,Jackson,Amador,Regional,REGIONAL-Business/Corporate,General Aviation,01701.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=JAQ,4731.10785117518,678235.005713535
136,L54,AGUA CALIENTE SPRINGS AIRPORT,AGUA CALIENTE SPRINGS,Agua Caliente Springs,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01218.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L54,4137.14456935267,355466.09721105
137,M45,ALPINE COUNTY AIRPORT,ALPINE COUNTY,Markleeville,Alpine,Limited Use,LIMITED USE,Not a NPIAS Facility,01866.4*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=M45,7872.34417571751,1994936.94787723
138,L35,BIG BEAR CITY AIRPORT,BIG BEAR CITY,Big Bear City,San Bernardino,Regional,REGIONAL,General Aviation,01323.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L35,5553.72948098124,667015.293646786
139,L71,CALIFORNIA CITY MUNICIPAL AIRPORT,CALIFORNIA CITY MUNI,California City,Kern,Community,COMMUNITY-Recreation,General Aviation,01360.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L71,7970.61911623458,1365144.83708012
140,MER,CASTLE AIRPORT,CASTLE,Atwater,Merced,Community,COMMUNITY,General Aviation,01270.6*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=MER,18346.8002150221,8731944.88973478
141,L77,CHIRIACO SUMMIT AIRPORT,CHIRIACO SUMMIT,Chiriaco Summit,Riverside,Limited Use,LIMITED USE,Not a NPIAS Facility,01399.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L77,8206.73381150814,3297676.15000441
142,O22,COLUMBIA AIRPORT,COLUMBIA,Columbia,Tuolumne,Regional,REGIONAL-Recreation,General Aviation,01429.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O22,12169.5719991736,2412914.55585825
143,O08,COLUSA COUNTY AIRPORT,COLUSA COUNTY,Colusa,Colusa,Community,COMMUNITY,General Aviation,01431.1*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O08,4453.97376955519,584678.569488678
144,L62,ELK HILLS-BUTTONWILLOW AIRPORT,ELK HILLS-BUTTONWILLOW,Buttonwillow,Kern,Limited Use,LIMITED USE,Not a NPIAS Facility,01356.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L62,5656.84022535623,1072166.05247196
145,O33,EUREKA MUNICIPAL AIRPORT,EUREKA MUNI,Eureka,Humboldt,Community,COMMUNITY,Not a NPIAS Facility,01561.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O33,10979.1037457422,4074287.84830998
146,O16,GARBERVILLE AIRPORT,GARBERVILLE,Garberville,Humboldt,Community,COMMUNITY,General Aviation,01599.1*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O16,3270.70716338917,359250.911425733
147,O37,HAIGH FIELD AIRPORT,HAIGH FIELD,Orland,Glenn,Community,COMMUNITY,General Aviation,01995.8*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O37,7811.75257974771,2756659.34584741
148,H37,HERLONG AIRPORT,HERLONG,Herlong,Lassen,Limited Use,LIMITED USE,Not a NPIAS Facility,01661.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=H37,3088.73680893529,156742.133612893
149,O21,HOOPA AIRPORT,HOOPA,Hoopa,Humboldt,Limited Use,LIMITED USE,General Aviation,01674.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O21,2772.36597389277,282487.113635038
150,L78,JACUMBA AIRPORT,JACUMBA,Jacumba,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01704.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L78,4510.53363828307,713474.580768826
151,O20,KINGDON AIRPARK AIRPORT,KINGDON AIRPARK,Lodi,San Joaquin,Limited Use,LIMITED USE-Agriculture,Not a NPIAS Facility,01783.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O20,3735.93568379647,270545.050366801
